date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:53:13	20049/20049	---MCZ	200	added ('OK')	text/html	etag:W/%2206c2ec46b337097839badbbbe33d102b%22	https://www.khoahocpeter.online/detail/hoidanit/react-native-ultimate-phat-trien-ung-dung-mobile.html	D:/clonewebkhoahoc/webkhoahoc/www.khoahocpeter.online/detail/hoidanit/react-native-ultimate-phat-trien-ung-dung-mobile.html	(from https://www.khoahocpeter.online/index.html)
23:53:14	30768/30768	---M--	200	added ('OK')	image/jpeg	etag:%220b40af21cea24fbe9a159ee953ff4c37%22	https://www.khoahocpeter.online/img/native-hoidanit.jpg	D:/clonewebkhoahoc/webkhoahoc/www.khoahocpeter.online/img/native-hoidanit.jpg	(from https://www.khoahocpeter.online/index.html)
23:53:14	20576/20576	---MCZ	200	added ('OK')	text/html	etag:W/%22a2e193b9f05f7bf30df32ad59918b2ae%22	https://www.khoahocpeter.online/detail/hoidanit/java-spring-rest-ultimate-for-beginners.html	D:/clonewebkhoahoc/webkhoahoc/www.khoahocpeter.online/detail/hoidanit/java-spring-rest-ultimate-for-beginners.html	(from https://www.khoahocpeter.online/index.html)
23:53:14	29106/29106	---M--	200	added ('OK')	image/jpeg	etag:%22fbaf243a788c325362b4adfc8e2e7d81%22	https://www.khoahocpeter.online/img/course-13.jpg	D:/clonewebkhoahoc/webkhoahoc/www.khoahocpeter.online/img/course-13.jpg	(from https://www.khoahocpeter.online/index.html)
23:53:15	21993/21993	---MCZ	200	added ('OK')	text/html	etag:W/%22e9be9dcf3741a86aff08f9f8223b6e6b%22	https://www.khoahocpeter.online/detail/hoidanit/react-pro-max-voi-nextjs-lam-chu-toan-dien-reactjs-hien-dai.html	D:/clonewebkhoahoc/webkhoahoc/www.khoahocpeter.online/detail/hoidanit/react-pro-max-voi-nextjs-lam-chu-toan-dien-reactjs-hien-dai.html	(from https://www.khoahocpeter.online/index.html)
23:53:15	26272/26272	---M--	200	added ('OK')	image/jpeg	etag:%225fe27e213ef62e36dc093be514c55048%22	https://www.khoahocpeter.online/img/course-11.jpg	D:/clonewebkhoahoc/webkhoahoc/www.khoahocpeter.online/img/course-11.jpg	(from https://www.khoahocpeter.online/index.html)
23:53:16	15345/15345	---MCZ	200	added ('OK')	text/html	etag:W/%22463eaef17606443f14117bc795a9d887%22	https://www.khoahocpeter.online/detail/front-end-2024-28tech.html	D:/clonewebkhoahoc/webkhoahoc/www.khoahocpeter.online/detail/front-end-2024-28tech.html	(from https://www.khoahocpeter.online/index.html)
23:53:16	29542/29542	---M--	200	added ('OK')	image/jpeg	etag:%228e5251dab40a2a0707112d04b2e4324b%22	https://www.khoahocpeter.online/img/course-4.jpg	D:/clonewebkhoahoc/webkhoahoc/www.khoahocpeter.online/img/course-4.jpg	(from https://www.khoahocpeter.online/index.html)
23:53:16	26352/26352	---MCZ	200	added ('OK')	text/html	etag:W/%22aa82e9a7ef10e3379bd19a94124218b1%22	https://www.khoahocpeter.online/detail/lap-trinh-python-28tech.html	D:/clonewebkhoahoc/webkhoahoc/www.khoahocpeter.online/detail/lap-trinh-python-28tech.html	(from https://www.khoahocpeter.online/index.html)
23:53:17	105328/105328	---M--	200	added ('OK')	image/jpeg	etag:%22fb2e21748d49bece20fcdaae4cb04494%22	https://www.khoahocpeter.online/img/course-43.jpg	D:/clonewebkhoahoc/webkhoahoc/www.khoahocpeter.online/img/course-43.jpg	(from https://www.khoahocpeter.online/index.html)
